"DateTime","Depth","Temp","time"
2007-08-28 12:00:00,0,24.12,"12:00:00"
2007-08-28 12:00:00,0.5,22.6,"12:00:00"
2007-08-28 12:00:00,1,22.41,"12:00:00"
2007-08-28 12:00:00,1.5,22.32,"12:00:00"
2007-08-28 12:00:00,2,22.14,"12:00:00"
2007-08-28 12:00:00,2.5,21.79,"12:00:00"
2007-08-28 12:00:00,3,21.83,"12:00:00"
2007-08-28 12:00:00,3.5,NA,"12:00:00"
2007-08-28 12:00:00,4,21.64,"12:00:00"
2007-08-28 12:00:00,5,NA,"12:00:00"
2007-08-28 12:00:00,6,NA,"12:00:00"
2007-08-28 12:00:00,7,18.94,"12:00:00"
2007-08-28 12:00:00,8,14.59,"12:00:00"
2007-08-28 12:00:00,9,12.1,"12:00:00"
2007-08-28 12:00:00,10,11.04,"12:00:00"
2007-08-28 12:00:00,11,11.01,"12:00:00"
2007-08-28 12:00:00,12,NA,"12:00:00"
2007-08-28 12:00:00,13,11.07,"12:00:00"
2007-08-28 12:00:00,14,NA,"12:00:00"
2007-08-29 12:00:00,0,24.21,"12:00:00"
2007-08-29 12:00:00,0.5,22.91,"12:00:00"
2007-08-29 12:00:00,1,22.85,"12:00:00"
2007-08-29 12:00:00,1.5,22.53,"12:00:00"
2007-08-29 12:00:00,2,22.47,"12:00:00"
2007-08-29 12:00:00,2.5,22.36,"12:00:00"
2007-08-29 12:00:00,3,22.16,"12:00:00"
2007-08-29 12:00:00,3.5,NA,"12:00:00"
2007-08-29 12:00:00,4,21.51,"12:00:00"
2007-08-29 12:00:00,5,20.97,"12:00:00"
2007-08-29 12:00:00,6,20.55,"12:00:00"
2007-08-29 12:00:00,7,19.51,"12:00:00"
2007-08-29 12:00:00,8,14.23,"12:00:00"
2007-08-29 12:00:00,9,12.15,"12:00:00"
2007-08-29 12:00:00,10,11.12,"12:00:00"
2007-08-29 12:00:00,11,11,"12:00:00"
2007-08-29 12:00:00,12,NA,"12:00:00"
2007-08-29 12:00:00,13,11.05,"12:00:00"
2007-08-29 12:00:00,14,NA,"12:00:00"
2007-08-30 12:00:00,0,25.29,"12:00:00"
2007-08-30 12:00:00,0.5,23.6,"12:00:00"
2007-08-30 12:00:00,1,23.48,"12:00:00"
2007-08-30 12:00:00,1.5,23.32,"12:00:00"
2007-08-30 12:00:00,2,23.26,"12:00:00"
2007-08-30 12:00:00,2.5,23.15,"12:00:00"
2007-08-30 12:00:00,3,23.11,"12:00:00"
2007-08-30 12:00:00,3.5,NA,"12:00:00"
2007-08-30 12:00:00,4,22.81,"12:00:00"
2007-08-30 12:00:00,5,22.39,"12:00:00"
2007-08-30 12:00:00,6,21.55,"12:00:00"
2007-08-30 12:00:00,7,18.02,"12:00:00"
2007-08-30 12:00:00,8,NA,"12:00:00"
2007-08-30 12:00:00,9,13.07,"12:00:00"
2007-08-30 12:00:00,10,11.48,"12:00:00"
2007-08-30 12:00:00,11,NA,"12:00:00"
2007-08-30 12:00:00,12,NA,"12:00:00"
2007-08-30 12:00:00,13,NA,"12:00:00"
2007-08-30 12:00:00,14,NA,"12:00:00"
2007-08-31 12:00:00,0,23.39,"12:00:00"
2007-08-31 12:00:00,0.5,23.39,"12:00:00"
2007-08-31 12:00:00,1,23.3,"12:00:00"
2007-08-31 12:00:00,1.5,23.18,"12:00:00"
2007-08-31 12:00:00,2,23.2,"12:00:00"
2007-08-31 12:00:00,2.5,23.16,"12:00:00"
2007-08-31 12:00:00,3,23.16,"12:00:00"
2007-08-31 12:00:00,3.5,NA,"12:00:00"
2007-08-31 12:00:00,4,22.13,"12:00:00"
2007-08-31 12:00:00,5,NA,"12:00:00"
2007-08-31 12:00:00,6,19.87,"12:00:00"
2007-08-31 12:00:00,7,17.78,"12:00:00"
2007-08-31 12:00:00,8,15.07,"12:00:00"
2007-08-31 12:00:00,9,12.27,"12:00:00"
2007-08-31 12:00:00,10,11.32,"12:00:00"
2007-08-31 12:00:00,11,11.12,"12:00:00"
2007-08-31 12:00:00,12,NA,"12:00:00"
2007-08-31 12:00:00,13,11.39,"12:00:00"
2007-08-31 12:00:00,14,NA,"12:00:00"
2007-09-01 12:00:00,0,22.73,"12:00:00"
2007-09-01 12:00:00,0.5,22.81,"12:00:00"
2007-09-01 12:00:00,1,22.75,"12:00:00"
2007-09-01 12:00:00,1.5,22.55,"12:00:00"
2007-09-01 12:00:00,2,22.65,"12:00:00"
2007-09-01 12:00:00,2.5,22.66,"12:00:00"
2007-09-01 12:00:00,3,22.7,"12:00:00"
2007-09-01 12:00:00,3.5,NA,"12:00:00"
2007-09-01 12:00:00,4,22.06,"12:00:00"
2007-09-01 12:00:00,5,NA,"12:00:00"
2007-09-01 12:00:00,6,21.89,"12:00:00"
2007-09-01 12:00:00,7,18.78,"12:00:00"
2007-09-01 12:00:00,8,15.64,"12:00:00"
2007-09-01 12:00:00,9,13.16,"12:00:00"
2007-09-01 12:00:00,10,11.68,"12:00:00"
2007-09-01 12:00:00,11,11.71,"12:00:00"
2007-09-01 12:00:00,12,NA,"12:00:00"
2007-09-01 12:00:00,13,12.15,"12:00:00"
2007-09-01 12:00:00,14,NA,"12:00:00"
2007-09-02 12:00:00,0,22.14,"12:00:00"
2007-09-02 12:00:00,0.5,21.77,"12:00:00"
2007-09-02 12:00:00,1,21.71,"12:00:00"
2007-09-02 12:00:00,1.5,21.67,"12:00:00"
2007-09-02 12:00:00,2,21.61,"12:00:00"
2007-09-02 12:00:00,2.5,21.62,"12:00:00"
2007-09-02 12:00:00,3,21.74,"12:00:00"
2007-09-02 12:00:00,3.5,NA,"12:00:00"
2007-09-02 12:00:00,4,21.73,"12:00:00"
