"datetime","airTemperature_degF","lakeElevation_ft","outflow_cfs","precipitation_in"
2020-01-01 01:00:00,"29.1","1091.93","104","0"
2020-01-01 02:00:00,"28.2","1091.93","104","0"
2020-01-01 03:00:00,"26.8","1091.94","104","0"
2020-01-01 04:00:00,"26.5","1091.95","104","0"
2020-01-01 05:00:00,"26.6","1091.92","104","0"
2020-01-01 06:00:00,"26.9","1091.91","104","0"
2020-01-01 07:00:00,"26.9","1091.91","104","0"
2020-01-01 08:00:00,"26.6","1091.92","104","0"
2020-01-01 09:00:00,"27.1","1091.9","104","0"
2020-01-01 10:00:00,"27.6","1091.91","104","0"
2020-01-01 11:00:00,"28.1","1091.92","104","0"
2020-01-01 12:00:00,"28.5","1091.91","104","0"
2020-01-01 13:00:00,"28.4","1091.95","104","0"
2020-01-01 14:00:00,"29.2","1091.9","104","0"
2020-01-01 15:00:00,"28.8","1091.91","104","0"
2020-01-01 16:00:00,"28.8","1091.89","104","0"
2020-01-01 17:00:00,"28.5","1091.89","104","0"
2020-01-01 18:00:00,"28.3","1091.92","104","0"
2020-01-01 19:00:00,"28.8","1091.88","104","0"
2020-01-01 20:00:00,"28.7","1091.91","104","0"
2020-01-01 21:00:00,"28.7","1091.92","104","0"
2020-01-01 22:00:00,"28.1","1091.92","104","0"
2020-01-01 23:00:00,"28","1091.91","104","0"
2020-01-02 00:00:00,"28.05","1091.905",NA,"0"
2020-01-02 01:00:00,"28.1","1091.9",NA,"0"
2020-01-02 02:00:00,"27.7","1091.89","103","0"
2020-01-02 03:00:00,"26.8","1091.9","104","0"
2020-01-02 04:00:00,"24.9","1091.92","104","0"
2020-01-02 05:00:00,"23.9","1091.91","104","0"
2020-01-02 06:00:00,"24.8","1091.88","104","0"
2020-01-02 07:00:00,"22.8","1091.89","104","0"
2020-01-02 08:00:00,"21.9","1091.92","104","0"
2020-01-02 09:00:00,"24","1091.89","104","0"
2020-01-02 10:00:00,"28.4","1091.89","104","0"
2020-01-02 11:00:00,"30.8","1091.9","104","0"
2020-01-02 12:00:00,"33.6","1091.92","104","0"
