"DateTime","Depth","temp","OXY_oxy"
2007-08-28 12:00:00,0.5,23.44,NA
2007-08-28 12:00:00,1,22.2,NA
2007-08-28 12:00:00,1.5,21.81,9.61
2007-08-28 12:00:00,2,21.73,NA
2007-08-28 12:00:00,2.5,21.68,NA
2007-08-28 12:00:00,3,21.64,NA
2007-08-28 12:00:00,3.5,21.64,NA
2007-08-28 12:00:00,4.5,21.06,NA
2007-08-28 12:00:00,5.5,20.56,NA
2007-08-28 12:00:00,6.5,19.77,NA
2007-08-28 12:00:00,7.5,17.83,NA
2007-08-28 12:00:00,8.5,13.74,NA
2007-08-28 12:00:00,9.5,11.85,NA
2007-08-28 12:00:00,10.5,10.57,NA
2007-08-28 12:00:00,11.5,10.53,NA
2007-08-28 12:00:00,13.5,10.64,NA
2007-08-29 12:00:00,0.5,23.63,NA
2007-08-29 12:00:00,1,22.45,NA
2007-08-29 12:00:00,1.5,22.19,9.65
2007-08-29 12:00:00,2,22.23,NA
2007-08-29 12:00:00,2.5,22.04,NA
2007-08-29 12:00:00,3,21.96,NA
2007-08-29 12:00:00,3.5,21.92,NA
2007-08-29 12:00:00,4.5,21.3,NA
2007-08-29 12:00:00,5.5,20.95,NA
2007-08-29 12:00:00,6.5,20.51,NA
2007-08-29 12:00:00,7.5,17.63,NA
2007-08-29 12:00:00,8.5,12.22,NA
2007-08-29 12:00:00,9.5,11.38,NA
2007-08-29 12:00:00,10.5,10.63,NA
2007-08-29 12:00:00,11.5,10.71,NA
2007-08-29 12:00:00,13.5,10.87,NA
2007-08-30 12:00:00,0.5,24.69,NA
2007-08-30 12:00:00,1,22.76,NA
2007-08-30 12:00:00,1.5,22.69,9.68
2007-08-30 12:00:00,2,22.48,NA
2007-08-30 12:00:00,2.5,22.38,NA
2007-08-30 12:00:00,3,22.08,NA
2007-08-30 12:00:00,3.5,21.87,NA
2007-08-30 12:00:00,4.5,21.56,NA
2007-08-30 12:00:00,5.5,21.18,NA
2007-08-30 12:00:00,6.5,20.44,NA
2007-08-30 12:00:00,7.5,15.82,NA
2007-08-30 12:00:00,8.5,12.69,NA
2007-08-30 12:00:00,9.5,12.15,NA
2007-08-30 12:00:00,10.5,10.72,NA
2007-08-30 12:00:00,11.5,10.57,NA
2007-08-30 12:00:00,13.5,10.75,NA
2007-08-31 12:00:00,0.5,23.38,NA
2007-08-31 12:00:00,1,23.33,NA
2007-08-31 12:00:00,1.5,23.2,9.62
2007-08-31 12:00:00,2,23,NA
2007-08-31 12:00:00,2.5,23,NA
2007-08-31 12:00:00,3,22.94,NA
2007-08-31 12:00:00,3.5,22.71,NA
2007-08-31 12:00:00,4.5,21.33,NA
2007-08-31 12:00:00,5.5,20.56,NA
2007-08-31 12:00:00,6.5,19.59,NA
2007-08-31 12:00:00,7.5,17.53,NA
2007-08-31 12:00:00,8.5,13.35,NA
2007-08-31 12:00:00,9.5,11.34,NA
2007-08-31 12:00:00,10.5,11.13,NA
2007-08-31 12:00:00,11.5,10.92,NA
2007-08-31 12:00:00,13.5,11,NA
2007-09-01 12:00:00,0.5,21.99,NA
2007-09-01 12:00:00,1,22.04,NA
2007-09-01 12:00:00,1.5,21.95,9.8
2007-09-01 12:00:00,2,21.94,NA
2007-09-01 12:00:00,2.5,21.85,NA
2007-09-01 12:00:00,3,21.88,NA
2007-09-01 12:00:00,3.5,22.01,NA
