date,station,weather,source
1993-05-30,210,"CLEAR, COLD",DO/Temperature record
1993-05-30,200,"CLEAR, COLD",DO/Temperature record
1993-06-12,230,"CLEAR, BREEZY",DO/Temperature record
1993-06-12,220,"BREEZY,CLEAR,SM.WVS",DO/Temperature record
1993-06-13,210,"CLEAR, BREEZY",DO/Temperature record
1993-06-13,200,"CLEAR, BREEZY",DO/Temperature record
1993-06-25,220,"BREEZY,CLEAR,SM.WVS",DO/Temperature record
1993-06-25,220,"BREEZY,CLEAR,SM,WVS",DO/Temperature record
1993-06-25,230,"CLEAR, BREEZY",DO/Temperature record
1993-06-27,210,"CLEAR, CALM",DO/Temperature record
1993-06-27,200,"CLEAR, BREEZY",DO/Temperature record
1993-07-25,220,"CLEAR, BREEZY",DO/Temperature record
1993-07-25,210,"CLOUDY, BREEZY",DO/Temperature record
1993-07-25,200,"CLOUDY, BREEZY",DO/Temperature record
1993-07-31,230,"OVERCAST, BREEZY",DO/Temperature record
1993-08-07,220,"HAZY, CALM",DO/Temperature record
1993-08-08,210,"CLOUDY, BREEZY",DO/Temperature record
1993-08-08,200,"CLOUDY, RAINY, BREEZY",DO/Temperature record
1993-08-22,220,"CLEAR, CALM",DO/Temperature record
1993-08-22,210,"CLEAR, BREEZY",DO/Temperature record
1993-08-22,200,"HAZY, BREEZY",DO/Temperature record
1993-08-24,230,"HAZY, CALM",DO/Temperature record
1993-09-05,220,WAVES,DO/Temperature record
1993-09-05,210,SMALL WAVES,DO/Temperature record
1993-09-08,230,"OVERCAST, CALM",DO/Temperature record
1993-09-26,230,"CLEAR, BREEZY, SMALL WAVES",DO/Temperature record
1993-10-17,230,"FOGGY, SHORE NOT VISIBLE",DO/Temperature record
1993-10-17,220,"FOGGY, SHORE NOT VISIBLE",DO/Temperature record
1993-10-17,210,"FOGGY, SHORE NOT VISIBLE",DO/Temperature record
1993-10-17,200,"FOGGY, SHORE NOT VISIBLE",DO/Temperature record
1994-06-14,200,"CLOUDY,LIGHT BREEZE",DO/Temperature record
1994-06-15,230,"SUNNY, OCCASIONAL CLOUDS",DO/Temperature record
1994-07-06,230,HAZY AND BREEZY,DO/Temperature record
1994-07-07,210,"CLOUDY, HOT AND HUMID",DO/Temperature record
1994-07-24,220,CLOUDY AND CALM,DO/Temperature record
1994-07-25,230,HAZY AND CALM,DO/Temperature record
1994-07-29,210,CLEAR AND BREEZY,DO/Temperature record
1994-08-03,200,HAZY WITH LIGHT BREEZE,DO/Temperature record
1994-08-17,230,overcast & hazy,DO/Temperature record
1994-08-19,230,MOSTLY CLOUDY,DO/Temperature record
1994-08-19,220,MOSTLY CLOUDY,DO/Temperature record
1994-08-19,200,MOSTLY CLOUDY,DO/Temperature record
1994-08-19,210,MOSTLY CLOUDY,DO/Temperature record
1994-09-14,220,OVERCAST,DO/Temperature record
1994-09-14,230,OVERCAST,DO/Temperature record
1994-09-14,210,OVERCAST,DO/Temperature record
1994-09-14,200,overcast,DO/Temperature record
1995-05-24,220,"OVERCAST,BREEZY-N.W.,SMALL W.",DO/Temperature record
1995-05-26,210,"CLOUDY,BREEZY-S.E.,RIPPLE W.",DO/Temperature record
1995-05-26,200,"CLOUDY,BREEZY-S.E.,RIPPLE W.",DO/Temperature record
1995-06-01,230,"HAZY,BREEZY-N.,SMALL WAVES",DO/Temperature record
1995-06-14,220,"OVERCAST,BREEZY-N.,RIPPLE W.",DO/Temperature record
1995-06-14,230,"CLOUDY,BREEZY-N.,CALM",DO/Temperature record
1995-06-14,230,"CLOUDY,BRREZY-N.,CALM",DO/Temperature record
1995-06-16,200,"CLEAR,BREEZY-N.W.,SMALL W.",DO/Temperature record
1995-06-16,210,"CLEAR,BREEZY-N.W.,RIPPLE W.",DO/Temperature record
1995-06-16,210,"CLEAR,RIPPLE-N.W.,RIPPLE W.",DO/Temperature record
1995-07-13,230,"BREEZY-SW,SUNNY-HOT,RIPPLE WVS",DO/Temperature record
1995-07-13,220,"WINDY-SW,SUNNY-HOT,CHOPPY WVS",DO/Temperature record
1995-07-13,210,"BREEZY,WIND-SW,SUNNY,RIPPLE W",DO/Temperature record
1995-07-13,200,"GUSTY,WIND-SW,SUNNY W/FEW CLD",DO/Temperature record
1995-08-09,230,"BREEZY-N,CLEAR,RIP.WVS,",DO/Temperature record
1995-08-09,220,"BREEZY-N,CLEAR,RIP.WVS,",DO/Temperature record
1995-08-10,210,"BREEZY-W,CLEAR,RIP.WVS,",DO/Temperature record
1995-08-10,200,"BREEZY-SW,CLEAR,RIP.WVS,",DO/Temperature record
1995-09-05,200,"CLEAR, CALM",DO/Temperature record
1995-09-05,230,"CLEAR, BREEZY-NW",DO/Temperature record
1995-09-05,220,"CLEAR, BREEZY-NW",DO/Temperature record
1995-09-05,210,"CALM-W,CLEAR,RIP.WVS",DO/Temperature record
1995-09-05,210,"CALM-W,CLEAR,RIP.WVS,",DO/Temperature record
1995-09-30,230,"BREEZY-SO,CLEAR,RP.WVS,SM.WVS",DO/Temperature record
1995-09-30,220,"BREEZY-SO,CLEAR,RP.WVS",DO/Temperature record
1995-09-30,210,"CLEAR, CALM",DO/Temperature record
1995-09-30,200,"CLEAR, CALM",DO/Temperature record
1996-05-22,230,"BREZZY-NO,CLEAR,SM.WVS.,ABN",DO/Temperature record
1996-05-22,220,"CALM-NO,CLEAR,RP.WVS,LEVEL-ABN",DO/Temperature record
1996-05-22,210,"BREEZY-WE,CLEAR,RP.WVS,ABN",DO/Temperature record
1996-05-22,210,"0REEZY-WE,CLEAR,RP.WVS,ABN",DO/Temperature record
